# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsUncompressedSize,1754247650699000000,1754247710740000000,146801
VFS.fileChildByName,1754247650699000000,1754247710740000000,2278
VFS.fileByIdCache.misses,1754247650699000000,1754247710740000000,0
VFS.fileByIdCache.hits,1754247650699000000,1754247710740000000,0
VFS.contentStorage.recordsReadDecompressed,1754247650699000000,1754247710740000000,0
VFS.contentStorage.recordsReadSize,1754247650699000000,1754247710740000000,0
VFS.contentStorage.recordsStoredCompressed,1754247650699000000,1754247710740000000,6
VFS.contentStorage.recordsDecompressionTimeUs,1754247650699000000,1754247710740000000,0
VFS.contentStorage.recordsDeduplicated,1754247650699000000,1754247710740000000,0
VFS.contentStorage.recordsStored,1754247650699000000,1754247710740000000,14
FileNameCache.totalMisses,1754247650699000000,1754247710740000000,2880
VFS.contentStorage.recordsStoredSize,1754247650699000000,1754247710740000000,60185
FileNameCache.queries,1754247650699000000,1754247710740000000,356992
VFS.contentStorage.recordsRead,1754247650699000000,1754247710740000000,0
VFS.invertedFileNameIndex.requests,1754247650699000000,1754247710740000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1754247650699000000,1754247710740000000,24143
MappedFileStorage.totalBytesMapped,1754247650699000000,1754247710740000000,173277184
MappedFileStorage.totalTimeSpentOnMappingUs,1754247650699000000,1754247710740000000,835425
FilePageCache.pageLoadsAboveSizeThreshold,1754247650699000000,1754247710740000000,0
FilePageCache.capacityInBytes,1754247650699000000,1754247710740000000,629145600
StorageLockContext.competingThreads.90P,1754247650699000000,1754247710740000000,0
FilePageCache.pageHits,1754247650699000000,1754247710740000000,0
DirectByteBufferAllocator.hits,1754247650699000000,1754247710740000000,3
StorageLockContext.competingThreads.max,1754247650699000000,1754247710740000000,0
DirectByteBufferAllocator.disposed,1754247650699000000,1754247710740000000,0
FilePageCache.pageFastCacheHits,1754247650699000000,1754247710740000000,21409
StreamlinedBlobStorage.recordsRelocated,1754247650699000000,1754247710740000000,0
FilePageCache.totalPageLoadsUs,1754247650699000000,1754247710740000000,1490272
StorageLockContext.competingThreads.avg,1754247650699000000,1754247710740000000,0.0
DirectByteBufferAllocator.misses,1754247650699000000,1754247710740000000,520
FilePageCache.pageLoads,1754247650699000000,1754247710740000000,523
MappedFileStorage.storages,1754247650699000000,1754247710740000000,9
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1754247650699000000,1754247710740000000,78961
MappedFileStorage.totalPagesMapped,1754247650699000000,1754247710740000000,9
FilePageCache.uncachedFileAccess,1754247650699000000,1754247710740000000,704
FilePageCache.maxRegisteredFiles,1754247650699000000,1754247710740000000,1421
FileChannelInterruptsRetryer.totalRetriedAttempts,1754247650699000000,1754247710740000000,0
FilePageCache.disposedBuffers,1754247650699000000,1754247710740000000,3
FilePageCache.totalPageDisposalsUs,1754247650699000000,1754247710740000000,6869
DirectByteBufferAllocator.reclaimed,1754247650699000000,1754247710740000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1754247650699000000,1754247710740000000,0
FilePageCache.maxCacheSizeInBytes,1754247650699000000,1754247710740000000,545259520
StreamlinedBlobStorage.recordsAllocated,1754247650699000000,1754247710740000000,978
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1754247650699000000,1754247710740000000,545259520
StreamlinedBlobStorage.recordsDeleted,1754247650699000000,1754247710740000000,0
FlushQueue.waitingTimeMaxNs,1754247650699000000,1754247710740000000,0
NonBlockingReadAction.finalizedExecutionsCount,1754247650699000000,1754247710740000000,8
NonBlockingReadAction.finalizedExecutionTimeUs,1754247650699000000,1754247710740000000,1106805
AWTEventQueue.eventsDispatched,1754247650699000000,1754247710740000000,0
AWTEventQueue.dispatchTimeAvgNs,1754247650699000000,1754247710740000000,0.0
WriteAction.executionsCount,1754247650699000000,1754247710740000000,13
AWTEventQueue.dispatchTimeTotalNS,1754247650699000000,1754247710740000000,2774824535
FlushQueue.waitingTimeAvgNs,1754247650699000000,1754247710740000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1754247650699000000,1754247710740000000,194876
FlushQueue.executionTimeMaxNs,1754247650699000000,1754247710740000000,0
AWTEventQueue.dispatchTime90PNs,1754247650699000000,1754247710740000000,0
FlushQueue.queueSizeMax,1754247650699000000,1754247710740000000,0
ReadAction.executionsCount,1754247650699000000,1754247710740000000,50406
FlushQueue.tasksExecuted,1754247650699000000,1754247710740000000,0
AWTEventQueue.dispatchTimeMaxNs,1754247650699000000,1754247710740000000,0
FlushQueue.queueSize90P,1754247650699000000,1754247710740000000,0
FlushQueue.executionTimeAvgNs,1754247650699000000,1754247710740000000,0.0
FlushQueue.waitingTime90PNs,1754247650699000000,1754247710740000000,0
NonBlockingReadAction.failedExecutionsCount,1754247650699000000,1754247710740000000,3
FlushQueue.queueSizeAvg,1754247650699000000,1754247710740000000,0.0
FlushQueue.executionTime90PNs,1754247650699000000,1754247710740000000,0
JVM.totalBytesAllocated,1754247650699000000,1754247710740000000,2763119328
JVM.GC.collectionTimesMs,1754247650699000000,1754247710740000000,665
JVM.usedHeapBytes,1754247650699000000,1754247710740000000,665893712
MEM.ramPlusSwapMinusFileMappingsBytes,1754247650699000000,1754247710740000000,1801428992
JVM.totalTimeAtSafepointsMs,1754247650699000000,1754247710740000000,734
JVM.threadCount,1754247650699000000,1754247710740000000,109
JVM.totalSafepointCount,1754247650699000000,1754247710740000000,104
JVM.usedNativeBytes,1754247650699000000,1754247710740000000,210660776
MEM.ramBytes,1754247650699000000,1754247710740000000,2075918336
MEM.ramMinusFileMappingsBytes,1754247650699000000,1754247710740000000,1801428992
OS.loadAverage,1754247650699000000,1754247710740000000,1.13818359375
JVM.totalCpuTimeMs,1754247650699000000,1754247710740000000,95530
JVM.newThreadsCount,1754247650699000000,1754247710740000000,140
JVM.maxHeapBytes,1754247650699000000,1754247710740000000,4108320768
JVM.totalTimeToSafepointsMs,1754247650699000000,1754247710740000000,36
JVM.GC.collections,1754247650699000000,1754247710740000000,35
JVM.committedHeapBytes,1754247650699000000,1754247710740000000,918552576
MEM.fileMappingsRamBytes,1754247650699000000,1754247710740000000,274489344
JVM.totalDirectByteBuffersBytes,1754247650699000000,1754247710740000000,551244462
JVM.maxThreadCount,1754247650699000000,1754247710740000000,116
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1754247650699000000,1754247710740000000,0
workspaceModel.updates.ms,1754247650699000000,1754247710740000000,252
workspaceModel.cachedValue.clear.count,1754247650699000000,1754247710740000000,5
workspaceModel.workspaceFileIndexData.getPackageName.ms,1754247650699000000,1754247710740000000,0
workspaceModel.cachedValue.from.cache.count,1754247650699000000,1754247710740000000,91
workspaceModel.cachedValue.total.get.count,1754247650699000000,1754247710740000000,107
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1754247650699000000,1754247710740000000,19
workspaceModel.to.snapshot.ms,1754247650699000000,1754247710740000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1754247650699000000,1754247710740000000,101
workspaceModel.on.changed.ms,1754247650699000000,1754247710740000000,108
workspaceModel.replace.project.model.ms,1754247650699000000,1754247710740000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1754247650699000000,1754247710740000000,0
workspaceModel.workspaceFileIndexData.init.ms,1754247650699000000,1754247710740000000,1
workspaceModel.loading.from.cache.ms,1754247650699000000,1754247710740000000,56
workspaceModel.workspaceFileIndexData.instances.count,1754247650699000000,1754247710740000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1754247650699000000,1754247710740000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1754247650699000000,1754247710740000000,21
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.initializing.ms,1754247650699000000,1754247710740000000,2
workspaceModel.pre.handlers.ms,1754247650699000000,1754247710740000000,15
workspaceModel.init.bridges.ms,1754247650699000000,1754247710740000000,7
workspaceModel.collect.changes.ms,1754247650699000000,1754247710740000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1754247650699000000,1754247710740000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1754247650699000000,1754247710740000000,1
workspaceModel.on.before.changed.ms,1754247650699000000,1754247710740000000,112
workspaceModel.loading.total.ms,1754247650699000000,1754247710740000000,71
workspaceModel.workspaceFileIndexData.processFileSets.ms,1754247650699000000,1754247710740000000,0
workspaceModel.cachedValueWithParameters.clear.count,1754247650699000000,1754247710740000000,0
workspaceModel.cachedValue.calculated.count,1754247650699000000,1754247710740000000,16
workspaceModel.full.replace.project.model.ms,1754247650699000000,1754247710740000000,71
workspaceModel.updates.precise.ms,1754247650699000000,1754247710740000000,53
workspaceModel.update.unloaded.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1754247650699000000,1754247710740000000,18
workspaceModel.check.recursive.update.ms,1754247650699000000,1754247710740000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1754247650699000000,1754247710740000000,0
workspaceModel.updates.count,1754247650699000000,1754247710740000000,3
Indexing.cache.totalCacheMisses,1754247650699000000,1754247710740000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1754247650699000000,1754247710740000000,0
Indexing.writesQueuedMin,1754247650699000000,1754247710740000000,9223372036854775807
Indexing.writesQueuedMax,1754247650699000000,1754247710740000000,0
Indexing.cache.totalCacheAccesses,1754247650699000000,1754247710740000000,0
Indexing.cache.totalCacheEvicted,1754247650699000000,1754247710740000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1754247650699000000,1754247710740000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1754247650699000000,1754247710740000000,0
Indexing.totalTimeIndexersSleptMs,1754247650699000000,1754247710740000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1754247650699000000,1754247710740000000,0
writeAction.count,1754247650699000000,1754247710740000000,13
writeAction.median.wait.ms,1754247650699000000,1754247710740000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1754247650699000000,1754247710740000000,43643828
writeAction.max.wait.ms,1754247650699000000,1754247710740000000,49
writeAction.wait.ms,1754247650699000000,1754247710740000000,59
DiskQueryRelay.tasksExecuted,1754247650699000000,1754247710740000000,1341
DiskQueryRelay.tasksRequested,1754247650699000000,1754247710740000000,1341
DiskQueryRelay.taskWaitingTotalTimeUs,1754247650699000000,1754247710740000000,44162309
workspaceModel.moduleBridge.before.changed.ms,1754247650699000000,1754247710740000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1754247650699000000,1754247710740000000,294
jps.apply.loaded.storage.ms,1754247650699000000,1754247710740000000,89
workspaceModel.global.apply.state.to.project.builder.ms,1754247650699000000,1754247710740000000,5
jps.project.serializers.load.ms,1754247650699000000,1754247710740000000,10
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1754247650699000000,1754247710740000000,0
jps.facet.change.listener.process.change.events.ms,1754247650699000000,1754247710740000000,1
jps.app.storage.content.reader.load.component.ms,1754247650699000000,1754247710740000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1754247650699000000,1754247710740000000,2
jps.artifact.entities.serializer.save.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1754247650699000000,1754247710740000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1754247650699000000,1754247710740000000,0
jps.library.entities.serializer.save.entities.ms,1754247650699000000,1754247710740000000,0
jps.storage.jps.conf.reader.load.component.ms,1754247650699000000,1754247710740000000,7
workspaceModel.moduleManagerBridge.create.module.instance.ms,1754247650699000000,1754247710740000000,40
jps.global.handle.changed.events.ms,1754247650699000000,1754247710740000000,0
workspaceModel.sync.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1754247650699000000,1754247710740000000,5
workspaceModel.mutableEntityStorage.resolve.ms,1754247650699000000,1754247710740000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1754247650699000000,1754247710740000000,0
jps.global.get.library.ms,1754247650699000000,1754247710740000000,0
jps.facet.change.listener.before.change.events.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1754247650699000000,1754247710740000000,0
jps.load.initial.state.ms,1754247650699000000,1754247710740000000,28
jps.global.initialize.library.bridges.ms,1754247650699000000,1754247710740000000,1
jps.global.get.library.by.name.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1754247650699000000,1754247710740000000,74
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1754247650699000000,1754247710740000000,1
jps.load.project.to.empty.storage.ms,1754247650699000000,1754247710740000000,142
jps.modifiable.module.model.bridge.renaming.ms,1754247650699000000,1754247710740000000,0
jps.save.changed.project.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1754247650699000000,1754247710740000000,0
jps.global.initialize.library.bridges.after.loading.ms,1754247650699000000,1754247710740000000,2
workspaceModel.load.cache.metadata.from.file.ms,1754247650699000000,1754247710740000000,0
jps.artifact.entities.serializer.load.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.entities.ms,1754247650699000000,1754247710740000000,1
jps.modifiable.module.model.bridge.load.module.ms,1754247650699000000,1754247710740000000,0
jps.global.get.libraries.ms,1754247650699000000,1754247710740000000,2
workspaceModel.mutableEntityStorage.has.same.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.instances.count,1754247650699000000,1754247710740000000,25
workspaceModel.moduleBridge.facet.initialization.ms,1754247650699000000,1754247710740000000,0
jps.global.handle.before.change.events.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1754247650699000000,1754247710740000000,0
workspaceModel.save.cache.to.file.ms,1754247650699000000,1754247710740000000,221
jps.save.global.entities.ms,1754247650699000000,1754247710740000000,0
jps.facet.change.listener.init.bridge.ms,1754247650699000000,1754247710740000000,1
jps.project.serializers.save.ms,1754247650699000000,1754247710740000000,0
workspaceModel.orphan.listener.update.ms,1754247650699000000,1754247710740000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1754247650699000000,1754247710740000000,4
workspaceModel.global.updates.count,1754247650699000000,1754247710740000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1754247650699000000,1754247710740000000,2
jps.library.entities.serializer.load.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1754247650699000000,1754247710740000000,10
workspaceModel.mutableEntityStorage.to.snapshot.ms,1754247650699000000,1754247710740000000,6
workspaceModel.load.cache.from.file.ms,1754247650699000000,1754247710740000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1754247650699000000,1754247710740000000,60
workspaceModel.mutableEntityStorage.referrers.ms,1754247650699000000,1754247710740000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1754247650699000000,1754247710740000000,256
jps.modifiable.module.model.bridge.new.module.ms,1754247650699000000,1754247710740000000,84
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1754247650699000000,1754247710740000000,4
jps.modifiable.module.model.bridge.disposing.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1754247650699000000,1754247710740000000,49
workspaceModel.moduleBridge.update.option.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1754247650699000000,1754247710740000000,1
workspaceModel.global.apply.state.to.project.ms,1754247650699000000,1754247710740000000,0
jps.reload.project.entities.ms,1754247650699000000,1754247710740000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1754247650699000000,1754247710740000000,9
workspaceModel.mutableEntityStorage.modify.entity.ms,1754247650699000000,1754247710740000000,46
workspaceModel.global.updates.ms,1754247650699000000,1754247710740000000,0
workspaceModel.do.save.caches.ms,1754247650699000000,1754247710740000000,233
cacheStateStorage.set.duration,1754247650699000000,1754247710740000000,125
cacheStateStorage.get.duration,1754247650699000000,1754247710740000000,0
cacheStateStorage.set.counter,1754247650699000000,1754247710740000000,2
cacheStateStorage.get.counter,1754247650699000000,1754247710740000000,12
VFS.contentStorage.recordsUncompressedSize,1754247710740000000,1754247770704000000,31252
VFS.fileChildByName,1754247710740000000,1754247770704000000,797
VFS.fileByIdCache.misses,1754247710740000000,1754247770704000000,0
VFS.fileByIdCache.hits,1754247710740000000,1754247770704000000,0
VFS.contentStorage.recordsReadDecompressed,1754247710740000000,1754247770704000000,0
VFS.contentStorage.recordsReadSize,1754247710740000000,1754247770704000000,0
VFS.contentStorage.recordsStoredCompressed,1754247710740000000,1754247770704000000,2
VFS.contentStorage.recordsDecompressionTimeUs,1754247710740000000,1754247770704000000,0
VFS.contentStorage.recordsDeduplicated,1754247710740000000,1754247770704000000,0
VFS.contentStorage.recordsStored,1754247710740000000,1754247770704000000,3
FileNameCache.totalMisses,1754247710740000000,1754247770704000000,7808
VFS.contentStorage.recordsStoredSize,1754247710740000000,1754247770704000000,15258
FileNameCache.queries,1754247710740000000,1754247770704000000,2776192
VFS.contentStorage.recordsRead,1754247710740000000,1754247770704000000,0
VFS.invertedFileNameIndex.requests,1754247710740000000,1754247770704000000,0
