Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;142.50;88.10%;0;1
VulnerableLibrariesLocal;Security;Vulnerable declared dependency;;LOCAL;2.92;1.81%;0;39
MaliciousLibrariesLocal;Security;Malicious dependency;;LOCAL;2.86;1.77%;0;39
HardcodedPasswords;Security;Hardcoded passwords;;LOCAL;2.36;1.46%;0;39
PyTypeHints;Python;Invalid type hints definitions and usages;Python;LOCAL;1.63;1.01%;0;2
PyVulnerableApiCodeInspection;Python/Security;Vulnerable API usage;Python;LOCAL;1.30;0.81%;0;2
PyUnresolvedReferences;Python;Unresolved references;Python;LOCAL;1.28;0.79%;13;2
PyOverrides;Python;Invalid usages of @override decorator;Python;LOCAL;0.92;0.57%;0;2
PyCallingNonCallable;Python;Attempt to call a non-callable object;Python;LOCAL;0.82;0.50%;0;2
PyStubPackagesAdvertiser;Python;Stub packages advertiser;Python;LOCAL;0.72;0.45%;0;2
PyMissingConstructor;Python;Missed call to '__init__' of the super class;Python;LOCAL;0.65;0.40%;0;2
PyDeprecation;Python;Deprecated function, class, or module;Python;LOCAL;0.62;0.38%;0;2
InjectedReferences;General;Injected references;;LOCAL;0.48;0.30%;0;1
PyUnreachableCode;Python;Unreachable code;Python;LOCAL;0.41;0.25%;0;2
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.31;0.19%;0;39
PyFinal;Python;Invalid usages of final classes, methods, and variables;Python;LOCAL;0.23;0.14%;0;2
PyTestUnpassedFixture;Python;Fixture is not requested by test functions;Python;LOCAL;0.22;0.14%;0;2
PyTypedDict;Python;Invalid TypedDict definition and usages;Python;LOCAL;0.19;0.12%;0;2
PyUnboundLocalVariable;Python;Unbound local variables;Python;LOCAL;0.17;0.10%;0;2
PyUnusedLocal;Python;Unused local symbols;Python;LOCAL;0.13;0.08%;1;2
PyPackages;Python;Method Series.to_list() is recommended;Python;LOCAL;0.13;0.08%;0;4
PyInconsistentReturns;Python;Inconsistent return statements;Python;LOCAL;0.09;0.06%;0;2
PyProtectedMember;Python;Accessing a protected member of a class or a module;Python;LOCAL;0.08;0.05%;0;2
PyPackageRequirements;Python;Unsatisfied package requirements;none;LOCAL;0.08;0.05%;4;2
PyCoverageInspection;Code Coverage;Check Python source code coverage;Python;GLOBAL_SIMPLE;0.05;0.03%;0;12
PySimplifyBooleanCheck;Python;Redundant boolean variable check;Python;LOCAL;0.04;0.03%;0;2
PyBroadException;Python;Unclear exception clauses;Python;LOCAL;0.04;0.02%;0;2
PyShadowingBuiltins;Python;Shadowing built-in names;Python;LOCAL;0.03;0.02%;0;2
PyStatementEffect;Python;Statement has no effect;Python;LOCAL;0.03;0.02%;0;2
PyAbstractClass;Python;Invalid abstract class definition and usages;Python;LOCAL;0.03;0.02%;0;2
PyUnnecessaryBackslash;Python;Unnecessary backslash;Python;LOCAL;0.03;0.02%;0;2
